key,tab,kind,text,parent,x,y,type,direction,rowkind,value,measured_by,where_found,etype,erq,erp,if_true,if_false,latest,bridge,bottom_line,positivity,form
58-percent-americans-said,131,claim,"58 percent of Americans said the president grants too many pardons and 56 percent supported a constitutional amendment limiting the power, with Democrats at 76 percent and Republicans at 34 percent.",letting-congress-overturn-presidential,,,,,,,,,statistics,,,,,,,"Real support, and the crosstabs are the reason to doubt the amendment path.",,
federal-judge-unsealed-redacted,132,claim,A federal judge unsealed a redacted opinion describing a Justice Department investigation into an alleged bribery-for-pardon scheme; no names were released and nobody was charged.,letting-congress-overturn-presidential,,,,,,,,,record,,,,,,,Enough to show the risk is not hypothetical; not enough to show it materialized.,,
independent-boards-hold-gate,133,claim,"Independent boards hold or gate the clemency power in more than a dozen states, and those systems operate continuously.",letting-congress-overturn-presidential,,,,,,,,,statistics,,,,,,,Strong precedent for a check; weak precedent for this particular check.,,
supreme-court-held-pardon,134,claim,The Supreme Court held that the pardon power is not subject to legislative control and that Congress can neither limit the effect of a pardon nor exclude any class of offenders from it.,letting-congress-overturn-presidential,,,,,,,,,record,,,,,,,Decisive on the mechanism and silent on the belief as stated.,,
proposals-let-congress-nullify,135,claim,Proposals to let Congress nullify pardons by two-thirds vote have been introduced with bipartisan sponsorship and have not moved out of committee.,letting-congress-overturn-presidential,,,,,,,,,record,,,,,,,"Listed on the weakening side because it is argued that way, and its linkage page is where the relevance fails.",,
decade-after-override-mechanism,136,claim,"In the decade after an override mechanism exists, the share of clemency grants that bypass the Justice Department review process falls.",letting-congress-overturn-presidential,,,,,,,,,,,,,,,,The best-measured prediction on the page.,,
override-never-used-because,137,claim,"The override is never used, because two thirds of both chambers cannot be assembled against a president whose party holds a third of either one.",letting-congress-overturn-presidential,,,,,,,,,,,,,,,,"The most likely outcome, and the deterrence rebuttal is real but unmeasurable.",,
presidents-shift-pre-emptive,138,claim,"Presidents shift to pre-emptive and blanket pardons issued on the last day, where an override vote arrives after the recipients have scattered.",letting-congress-overturn-presidential,,,,,,,,,,,,,,,,"Predicts the adaptation, and names the drafting fix in its own rebuttal.",,
pardons-granted-president-s-2,139,claim,Pardons granted to the president's own circle become reviewable rather than final.,letting-congress-overturn-presidential,,,,,,,,,,,,,,,,,,
prospect-vote-deters-grants,140,claim,The prospect of a vote deters the grants that could not survive one.,letting-congress-overturn-presidential,,,,,,,,,,,,,,,,,,
clemency-decisions-return-justice,141,claim,Clemency decisions return to the Justice Department review process that screens petitions on the merits.,letting-congress-overturn-presidential,,,,,,,,,,,,,,,,,,
unpopular-but-just-clemency,142,claim,"Unpopular but just clemency becomes harder, which is the case the power exists for.",letting-congress-overturn-presidential,,,,,,,,,,,,,,,,,,
recipients-cannot-rely-pardon,143,claim,"Recipients cannot rely on a pardon, so it settles nothing until the override window closes.",letting-congress-overturn-presidential,,,,,,,,,,,,,,,,,,
every-controversial-clemency-decision,144,claim,Every controversial clemency decision becomes another partisan floor fight.,letting-congress-overturn-presidential,,,,,,,,,,,,,,,,,,
some-pardons-granted-president,145,claim,Some pardons are granted for the president's private benefit.,letting-congress-overturn-presidential,,,,,,,,,,,,,,,,The pattern is documented and the characterization is inference. It is the firmest of the three components.,,
congressional-override-deter-reverse,146,claim,A congressional override would deter or reverse the grants at issue.,letting-congress-overturn-presidential,,,,,,,,,,,,,,,,"The weakest load-bearing component on this page, and the one that caps it. The prediction table says why.",,
override-mechanism-can-enacted,147,claim,An override mechanism can be enacted.,letting-congress-overturn-presidential,,,,,,,,,,,,,,,,"Argued down more effectively than the constitutional objection is usually argued, and not the component that caps this page.",,
both-sides-agree-selling,148,claim,Both sides agree that selling a pardon is a crime and that nobody currently checks whether one was sold.,letting-congress-overturn-presidential,,,,,,,,,,,,,,,,,,
require-pardon-attorney-s,149,claim,"Require the Pardon Attorney's file and the president's stated reasons to be published for every grant, and let Congress reverse a grant within sixty days by two-thirds vote, adopted as a constitutional amendment.",letting-congress-overturn-presidential,,,,,,,,,,,,,,,,,,
pardon-power-abolished-replaced,150,claim,The pardon power should be abolished and replaced with a clemency commission whose decisions the president may only ratify.,letting-congress-overturn-presidential,,,,,,,,,,,,,,,,,,
president-barred-pardoning-relatives,151,claim,"A president should be barred from pardoning relatives, donors and co-defendants, with no general override.",letting-congress-overturn-presidential,,,,,,,,,,,,,,,,,,
citizens-need-government-decisions,152,interest,Citizens need government decisions made on the merits rather than on what enriches the decider.,public-office-usable-private,,public-office-usable-private,,,,Fairness,Share of official decisions made by an official holding a personal financial stake in the outcome,,,,,Falls after the rule takes effect,Unchanged,"Not measured systematically; 78 members of one Congress filed late transaction reports (Insider, 2023)",,"Near the top of any hierarchy of public needs, and contested only at the edges of its application.",,
investors-need-markets-where,153,interest,Investors need markets where nobody trades on information the government has not released.,public-office-usable-private,,public-office-usable-private,,,,Free enterprise,Abnormal returns on officials' trades placed before government announcements,,,,,Fall to zero,Persist at their current level,Mixed: 85 basis points a month for senators over 1993 to 1998 (Ziobrowski 2004); no advantage found over 2012 to 2020 (Belmont 2022); 3 to 5 percent before legislative events over 2014 to 2021 (Zhou 2025),,Valid and recognized; the disputed part is how much is actually at stake.,,
voters-need-enough-information,154,interest,Voters need enough information to judge whether an official is compromised.,public-office-usable-private,,public-office-usable-private,,,,Accountability,"Share of an official's income sources, debts and foreign ties visible in public filings",,,,,Rises to near complete,Unchanged,"Assets and income are disclosed in broad ranges; foreign income, lender identity and effective tax rate are not (OGE Public Financial Disclosure Guide, 2024)",,"Strong as a need, contested in how far into a family it reaches.",,
crime-victims-public-need,155,interest,Crime victims and the public need clemency decisions that can be reviewed rather than traded.,public-office-usable-private,,public-office-usable-private,,,,Rule of law,Share of clemency grants that went through the Justice Department review process,,,,,Rises toward the historical norm,Stays at recent lows,"About 93 percent of one administration's first-term grants bypassed the Pardon Attorney (Goldsmith and Gluck, 2020)",,"A real need with an unusually direct constitutional obstacle, which is argued on the belief page rather than here.",,
officials-need-rules-can,156,interest,Officials need rules they can follow without a lawyer and without violating them by accident.,public-office-usable-private,,public-office-usable-private,,,,Security,Number of inadvertent reporting violations per year,,,,,Falls toward zero,Stays at current levels,"78 members of the 117th Congress filed late under the STOCK Act (Insider, 2023)",,"Valid and usually ignored, and it is the interest a bright-line ban serves best.",,
officials-families-need-same,157,interest,Officials and their families need the same property rights and privacy as other citizens.,public-office-usable-private,,public-office-usable-private,,,,Liberty,Whether a restriction reaches only the official or also family members who hold no office,,,,,Restrictions stay narrow and are compensated,Restrictions extend to family and are not,"Proposals vary: most reach the spouse and dependent children, and the Federal Reserve rule reaches immediate family",,"Valid in general, weakest exactly where it is invoked most: a voluntary office with known conditions.",,
country-needs-capable-people,158,interest,"The country needs capable people of ordinary means willing to serve, not only the wealthy and the indifferent.",public-office-usable-private,,public-office-usable-private,,,,Opportunity,Net worth distribution of candidates and of incoming members,,,,,Unchanged or more representative after the rule,Shifts toward the already-wealthy,Congress is already far wealthier than the population it represents,,"A real need, and the evidence runs against the version of it used in this debate.",,
president-needs-clemency-power,159,interest,The president needs a clemency power the legislature cannot veto.,public-office-usable-private,,public-office-usable-private,,,,Rule of law,Whether unpopular but just clemency grants continue to be made,,,,,They continue,They stop,Mass commutations of drug sentences were unpopular when granted and are now widely defended,,"Strong on the constitutional text, weaker as a claim that the current design is working.",,
some-officeholders-want-keep,160,interest,Some officeholders want to keep using their position and their families to make money.,public-office-usable-private,,public-office-usable-private,,,,Status,Income officials and their relatives earn from activities that depend on the office,,,,,Falls,Continues,"Not measured directly; campaign committees paid $1.3 million in wages to candidates' relatives in one cycle (OpenSecrets, 2020)",,Held by some and valid by almost no standard. It is on the page so that the scoring of a bad interest is visible rather than assumed.,,
drives-citizens-need-government-barring-members,161,driver,,barring-members-congress-president,citizens-need-government-decisions,barring-members-congress-president,,Support,,,,,,,,,,,Support that tracked partisan control rather than institutional distrust would point to a different driver.,"Drives the position as strongly as any interest on the page, and the alternative explanation is hard to separate from it.",,
drives-investors-need-markets-barring-members,162,driver,,barring-members-congress-president,investors-need-markets-where,barring-members-congress-president,,Support,,,,,,,,,,,A coalition that kept its size with the market-integrity argument removed would show this interest is decorative.,"Valid but largely decorative here: real interest, small share of what drives the position.",,
drives-voters-need-enough-barring-members,163,driver,,barring-members-congress-president,voters-need-enough-information,barring-members-congress-president,,Support,,,,,,,,,,,"Whether transparency advocates would accept enforced disclosure instead of a ban is the test, and most say they would not.","A strong driver, and partly the same driver as the first interest on the page.",,
drives-officials-need-rules-barring-members,164,driver,,barring-members-congress-president,officials-need-rules-can,barring-members-congress-president,,Support,,,,,,,,,,,"If officials who support a ban stopped doing so when preclearance was added, this interest would be shown to drive them.",A minor driver of the public position and a major one inside the institution.,,
drives-officials-families-need-barring-members,165,driver,,barring-members-congress-president,officials-families-need-same,barring-members-congress-president,,Opposition,,,,,,,,,,,Opposition as strong among members with no individual holdings would point to principle rather than interest.,"Stated first and predicts the position well, which is what a real driver looks like even when the stated principle is inconsistently applied.",,
drives-country-needs-capable-barring-members,166,driver,,barring-members-congress-president,country-needs-capable-people,barring-members-congress-president,,Opposition,,,,,,,,,,,Evidence that candidate recruitment fell in a jurisdiction after a holdings rule would show this interest drives the position.,"Weak as a driver: asserted often, never demonstrated.",,
drives-some-officeholders-want-barring-members,167,driver,,barring-members-congress-president,some-officeholders-want-keep,barring-members-congress-president,,Opposition,,,,,,,,,,,Opposition that was uncorrelated with trading volume would show this interest is not the driver.,"Drives a small number of positions strongly, which is the shape the evidence supports and no more than that.",,
drives-crime-victims-public-letting-congress,168,driver,,letting-congress-overturn-presidential,crime-victims-public-need,letting-congress-overturn-presidential,,Support,,,,,,,,,,,Support that stayed constant across changes of administration would show a stable interest rather than a partisan one.,"Real, and the partisan tracking is strong enough that the driver page scores lower than the interest page does.",,
drives-president-needs-clemency-letting-congress,169,driver,,letting-congress-overturn-presidential,president-needs-clemency-power,letting-congress-overturn-presidential,,Opposition,,,,,,,,,,,"Whether the same officials took this position under the other party's president is the test, and mostly they did not.","Genuinely principled among scholars and almost perfectly partisan among officials, which is why it scores where it does.",,
argu-members-regularly-trade-barring-members,170,linkage,,barring-members-congress-president,members-regularly-trade-industries,barring-members-congress-president,Argument,Supports,,,,,,,,,,,"The overlap is the conflict the ban targets, so if it exists the ban has something to remove.",High linkage: the row and the belief are about the same thing.,,
argu-disclosure-has-failed-barring-members,171,linkage,,barring-members-congress-president,disclosure-has-failed-check,barring-members-congress-president,Argument,Supports,,,,,,,,,,,"A ban is only better than disclosure if disclosure is failing, which this row establishes and the rest of the tree has to complete.",Good linkage with a real gap: it rules out the alternative without establishing the proposal.,,
argu-holdings-ban-removes-barring-members,172,linkage,,barring-members-congress-president,holdings-ban-removes-conflict,barring-members-congress-president,Argument,Supports,,,,,,,,,,,"If the conflict is structural, a structural remedy reaches it and an intent-based one does not.",The most direct linkage on the page.,,
argu-federal-reserve-barred-barring-members,173,linkage,,barring-members-congress-president,federal-reserve-barred-its,barring-members-congress-president,Argument,Supports,,,,,,,,,,,"A comparable institution operating under the rule shows the rule is administrable, which is one of the belief's components.","Bears on feasibility rather than on effect, which is a real but narrower contribution.",,
argu-trading-closed-briefing-barring-members,174,linkage,,barring-members-congress-president,trading-closed-briefing-almost,barring-members-congress-president,Argument,Supports,,,,,,,,,,,"If the conduct cannot be prosecuted even when it occurs, the choice is between a status rule and nothing.","Strong linkage, and the rebuttal is the most important sentence on this page.",,
argu-best-identified-studies-barring-members,175,linkage,,barring-members-congress-president,best-identified-studies-actual,barring-members-congress-president,Argument,Weakens,,,,,,,,,,,Underperformance would weaken the trading-advantage branch of the tree and leave the voting-conflict branch untouched.,"This is the page where the belief's two branches come apart, and the linkage score should show it.",,
argu-ban-official-leaves-barring-members,176,linkage,,barring-members-congress-president,ban-official-leaves-conflict,barring-members-congress-president,Argument,Weakens,,,,,,,,,,,A ban only reduces conflicts if what it covers is not simply replaced by what it does not.,The highest-linkage argument on the disagree side: it strikes the load-bearing component directly.,,
argu-forced-divestiture-imposes-barring-members,177,linkage,,barring-members-congress-president,forced-divestiture-imposes-real,barring-members-congress-president,Argument,Weakens,,,,,,,,,,,Divestiture costs would weaken the belief only if they defeated the rule politically or changed who holds office.,"Low linkage: a real cost aimed at the wrong question, and it counts fully in the cost-benefit table instead.",,
argu-congress-will-enforce-barring-members,178,linkage,,barring-members-congress-president,congress-will-enforce-ban,barring-members-congress-president,Argument,Weakens,,,,,,,,,,,"If Congress will not enforce it, the rule changes filings rather than conduct.",High linkage and the rebuttal is specific: the enforcement mechanism is not the same one that failed.,,
evid-senators-stock-purchases-barring-members,179,linkage,,barring-members-congress-president,senators-stock-purchases-beat,barring-members-congress-president,Evidence,Supports,,,,,,,,,,,"If senators earned abnormal returns, there was an advantage for a rule to remove, at least then.","Moderate linkage: right quantity, wrong era.",,
evid-trades-placed-before-barring-members,180,linkage,,barring-members-congress-president,trades-placed-before-legislative,barring-members-congress-president,Evidence,Supports,,,,,,,,,,,"Abnormal returns around legislative events is the conflict operating, measured in the current regime.","The highest-linkage evidence on the page, and the least replicated.",,
evid-78-members-117th-barring-members,181,linkage,,barring-members-congress-president,78-members-117th-congress,barring-members-congress-president,Evidence,Supports,,,,,,,,,,,Non-compliance bears on the belief only through the comparison between a ban and the disclosure regime it would replace.,"Low linkage, cited constantly, and this page is where that gets priced.",,
evid-131-federal-judges-barring-members,182,linkage,,barring-members-congress-president,131-federal-judges-heard,barring-members-congress-president,Evidence,Supports,,,,,,,,,,,"If disclosure fails where a recusal duty backs it, it is unlikely to succeed where nothing does.",Moderate linkage through an analogy that has to carry real weight.,,
evid-federal-reserve-officials-barring-members,183,linkage,,barring-members-congress-president,federal-reserve-officials-have,barring-members-congress-president,Evidence,Supports,,,,,,,,,,,"A working example of the rule bears on whether the rule is workable, which is one component of the belief.","Bears on feasibility, and it substantially repeats the Fed argument above, which is what its uniqueness page is about.",,
evid-congressional-portfolios-underperformed-barring-members,184,linkage,,barring-members-congress-president,congressional-portfolios-underperformed-market,barring-members-congress-president,Evidence,Weakens,,,,,,,,,,,Underperformance weakens the trading branch of the belief and is silent on the voting branch.,"Strong on its own branch, and the tree has two.",,
evid-no-evidence-members-barring-members,185,linkage,,barring-members-congress-president,no-evidence-members-congress,barring-members-congress-president,Evidence,Weakens,,,,,,,,,,,No post-reform advantage would mean the trading channel is already closed by the current rule.,"The most relevant weakening evidence, and it reaches only one of the two branches.",,
pred-five-years-after-barring-members,186,linkage,,barring-members-congress-president,five-years-after-ban,barring-members-congress-president,Prediction,Supports,,,,,,,,,,,"Would this observation tell the two sides apart, or do both expect it?","Half diagnostic: the compliance half is expected by everyone, the scandal half is not.",,
pred-public-trust-congress-barring-members,187,linkage,,barring-members-congress-president,public-trust-congress-five,barring-members-congress-president,Prediction,Supports,,,,,,,,,,,"Would this observation tell the two sides apart, or do both expect it?","Weakly diagnostic, and this page is why its contribution to the belief is small.",,
pred-jurisdiction-adopts-holdings-barring-members,188,linkage,,barring-members-congress-president,jurisdiction-adopts-holdings-ban,barring-members-congress-president,Prediction,Supports,,,,,,,,,,,"Would this observation tell the two sides apart, or do both expect it?",The most diagnostic prediction on the page and the only one nobody has attempted.,,
pred-reported-conflicts-migrate-barring-members,189,linkage,,barring-members-congress-president,reported-conflicts-migrate-spouse,barring-members-congress-president,Prediction,Weakens,,,,,,,,,,,"Would this observation tell the two sides apart, or do both expect it?",High diagnosticity through a noisy instrument.,,
pred-share-incoming-members-barring-members,190,linkage,,barring-members-congress-president,share-incoming-members-whose,barring-members-congress-president,Prediction,Weakens,,,,,,,,,,,"Would this observation tell the two sides apart, or do both expect it?","Low linkage to the belief and high relevance to the cost-benefit table, which is where it belongs.",,
pred-post-reform-studies-barring-members,191,linkage,,barring-members-congress-president,post-reform-studies-continue,barring-members-congress-president,Prediction,Weakens,,,,,,,,,,,"Would this observation tell the two sides apart, or do both expect it?","Diagnostic for half the belief, which is what its score should reflect.",,
argu-formal-appointment-what-barring-president,192,linkage,,barring-president-members-congress,formal-appointment-what-brings,barring-president-members-congress,Argument,Weakens,,,,,,,,,,,A bar that converts a disclosed adviser into an undisclosed one would make things worse rather than better.,The highest-linkage argument on that page.,,
argu-problem-people-actually-barring-president,193,linkage,,barring-president-members-congress,problem-people-actually-point,barring-president-members-congress,Argument,Weakens,,,,,,,,,,,"A gap in coverage bears on the size of the effect, not on its direction.",Moderate linkage: a scope argument doing duty as a refutation.,,
argu-return-shows-tax-requiring-president,194,linkage,,requiring-president-members-congress,return-shows-tax-positions,requiring-president-members-congress,Argument,Weakens,,,,,,,,,,,"If the existing form shows what a return would show, publication adds nothing.","High linkage and directly checkable, which is unusual and good.",,
argu-route-constitutionally-narrow-requiring-president,195,linkage,,requiring-president-members-congress,route-constitutionally-narrow-disclosure,requiring-president-members-congress,Argument,Weakens,,,,,,,,,,,"A precedent about ballot access bears on a disclosure duty only if the two are the same kind of rule, and they are not.","Low linkage: the precedent is cited far beyond what it holds, and this page is where that is priced.",,
argu-article-ii-grants-letting-congress,196,linkage,,letting-congress-overturn-presidential,article-ii-grants-power,letting-congress-overturn-presidential,Argument,Weakens,,,,,,,,,,,The cases foreclose a statute; the belief as written does not require one.,"The most-cited argument on that page, and nobody has opened this linkage page to argue it either way, so it still reads the presumption that a reason placed under a conclusion is relevant.",,
evid-proposals-let-congress-letting-congress,197,linkage,,letting-congress-overturn-presidential,proposals-let-congress-nullify,letting-congress-overturn-presidential,Evidence,Weakens,,,,,,,,,,,"Failure to advance bears on feasibility, and the belief is about effect.","Very low linkage, and it is the clearest example in this workbook of a true fact aimed at the wrong claim.",,
argu-most-states-already-letting-congress,198,linkage,,letting-congress-overturn-presidential,most-states-already-put,letting-congress-overturn-presidential,Argument,Supports,,,,,,,,,,,"State practice shows a check is compatible with a functioning clemency power, but not this check.",Real evidence for the general proposition and weak evidence for the specific proposal.,,
inte-78-members-117th-investors-need,199,linkage,,barring-members-congress-president,78-members-117th-congress,investors-need-markets-where,Interest,Supports,,,,,,,,,,,"The filing deadline exists for the market-integrity interest, but a violation of it does not show that interest was harmed.",Bearing: how far the row is really about this interest.,,
inte-forced-divestiture-imposes-country-needs,200,linkage,,barring-members-congress-president,forced-divestiture-imposes-real,country-needs-capable-people,Interest,Supports,,,,,,,,,,,Cost to sitting officials and deterrence of future candidates are related but not the same quantity.,Bearing: how far the row is really about this interest.,,
imp-members-regularly-trade-barring-members,201,importance,,barring-members-congress-president,members-regularly-trade-industries,barring-members-congress-president,,,reason to agree,,,,,,,,,,"Citizens whose decisions are made by someone holding a stake, and investors on the other side of the trades.",,,
imp-disclosure-has-failed-barring-members,202,importance,,barring-members-congress-president,disclosure-has-failed-check,barring-members-congress-president,,,reason to agree,,,,,,,,,,"Voters, who cannot tell a compromised official from a clean one, and officials living under a rule nobody enforces.",,,
imp-holdings-ban-removes-barring-members,203,importance,,barring-members-congress-president,holdings-ban-removes-conflict,barring-members-congress-president,,,reason to agree,,,,,,,,,,"Everyone who needs decisions made on the merits, and officials who want a rule they can actually follow.",,,
imp-federal-reserve-barred-barring-members,204,importance,,barring-members-congress-president,federal-reserve-barred-its,barring-members-congress-president,,,reason to agree,,,,,,,,,,"Officials, who would live under the rule, and anyone worried it makes service impossible.",,,
imp-trading-closed-briefing-barring-members,205,importance,,barring-members-congress-president,trading-closed-briefing-almost,barring-members-congress-president,,,reason to agree,,,,,,,,,,"Citizens and investors, who currently rely on a rule that cannot be enforced.",,,
imp-best-identified-studies-barring-members,206,importance,,barring-members-congress-president,best-identified-studies-actual,barring-members-congress-president,,,reason to disagree,,,,,,,,,,"Investors, if there turns out to be no advantage being taken.",,,
imp-ban-official-leaves-barring-members,207,importance,,barring-members-congress-president,ban-official-leaves-conflict,barring-members-congress-president,,,reason to disagree,,,,,,,,,,"Citizens, if the conflict moves instead of ending, and voters, who would see less of it.",,,
imp-forced-divestiture-imposes-barring-members,208,importance,,barring-members-congress-president,forced-divestiture-imposes-real,barring-members-congress-president,,,reason to disagree,,,,,,,,,,"People of ordinary means considering office, and officials asked to sell on someone else's schedule.",,,
imp-members-keep-property-barring-members,209,importance,,barring-members-congress-president,members-keep-property-rights,barring-members-congress-president,,,reason to disagree,,,,,,,,,,"Officials and their families, whose ordinary rights the rule restricts.",,,
imp-congress-will-enforce-barring-members,210,importance,,barring-members-congress-president,congress-will-enforce-ban,barring-members-congress-president,,,reason to disagree,,,,,,,,,,"Citizens, if the rule is a symbol, and officials, who would carry its burden for nothing.",,,
imp-senators-stock-purchases-barring-members,211,importance,,barring-members-congress-president,senators-stock-purchases-beat,barring-members-congress-president,,,supporting finding,,,,,,,,,,Investors trading against officials during the period studied.,,,
imp-trades-placed-before-barring-members,212,importance,,barring-members-congress-president,trades-placed-before-legislative,barring-members-congress-president,,,supporting finding,,,,,,,,,,Investors on the other side of trades placed before legislative events.,,,
imp-78-members-117th-barring-members,213,importance,,barring-members-congress-president,78-members-117th-congress,barring-members-congress-president,,,supporting finding,,,,,,,,,,"Investors relying on a disclosure regime, and officials living under a rule that is widely missed.",,,
imp-131-federal-judges-barring-members,214,importance,,barring-members-congress-president,131-federal-judges-heard,barring-members-congress-president,,,supporting finding,,,,,,,,,,Litigants and voters relying on disclosure to reveal a decision-maker's stake.,,,
imp-federal-reserve-officials-barring-members,215,importance,,barring-members-congress-president,federal-reserve-officials-have,barring-members-congress-president,,,supporting finding,,,,,,,,,,"Officials under the rule, and anyone concerned it deters qualified people.",,,
imp-congressional-portfolios-underperformed-barring-members,216,importance,,barring-members-congress-president,congressional-portfolios-underperformed-market,barring-members-congress-president,,,weakening finding,,,,,,,,,,"Investors, if there is no advantage to remove.",,,
imp-no-evidence-members-barring-members,217,importance,,barring-members-congress-president,no-evidence-members-congress,barring-members-congress-president,,,weakening finding,,,,,,,,,,Investors in the post-reform period.,,,
imp-five-years-after-barring-members,218,importance,,barring-members-congress-president,five-years-after-ban,barring-members-congress-president,,,prediction if the belief is true,,,,,,,,,,"Citizens, whose officials would no longer hold the stakes.",,,
imp-public-trust-congress-barring-members,219,importance,,barring-members-congress-president,public-trust-congress-five,barring-members-congress-president,,,prediction if the belief is true,,,,,,,,,,"Voters, whose confidence is the thing being measured.",,,
imp-jurisdiction-adopts-holdings-barring-members,220,importance,,barring-members-congress-president,jurisdiction-adopts-holdings-ban,barring-members-congress-president,,,prediction if the belief is true,,,,,,,,,,"Citizens, whose votes would be cast without the stake.",,,
imp-reported-conflicts-migrate-barring-members,221,importance,,barring-members-congress-president,reported-conflicts-migrate-spouse,barring-members-congress-president,,,prediction if the belief is false,,,,,,,,,,"Citizens, if the conflict persists out of view.",,,
imp-share-incoming-members-barring-members,222,importance,,barring-members-congress-president,share-incoming-members-whose,barring-members-congress-president,,,prediction if the belief is false,,,,,,,,,,People of ordinary means who might otherwise run.,,,
imp-post-reform-studies-barring-members,223,importance,,barring-members-congress-president,post-reform-studies-continue,barring-members-congress-president,,,prediction if the belief is false,,,,,,,,,,"Investors, if the advantage was already gone.",,,
imp-anti-nepotism-statute-barring-president,224,importance,,barring-president-members-congress,anti-nepotism-statute-stops,barring-president-members-congress,,,reason to agree,,,,,,,,,,"Citizens, whose decisions are made by someone outside the rule that covers everyone else.",,,
imp-relative-cannot-supervised-barring-president,225,importance,,barring-president-members-congress,relative-cannot-supervised-disciplined,barring-president-members-congress,,,reason to agree,,,,,,,,,,Citizens relying on an ordinary chain of command to check official conduct.,,,
imp-official-role-gives-barring-president,226,importance,,barring-president-members-congress,official-role-gives-family,barring-president-members-congress,,,reason to agree,,,,,,,,,,"Citizens, and voters who cannot see what the channel carries.",,,
imp-rule-already-applies-barring-president,227,importance,,barring-president-members-congress,rule-already-applies-every,barring-president-members-congress,,,reason to agree,,,,,,,,,,"Officials, who would face one rule instead of two.",,,
imp-formal-appointment-what-barring-president,228,importance,,barring-president-members-congress,formal-appointment-what-brings,barring-president-members-congress,,,reason to disagree,,,,,,,,,,"Voters, who would lose the disclosure that appointment triggers.",,,
imp-problem-people-actually-barring-president,229,importance,,barring-president-members-congress,problem-people-actually-point,barring-president-members-congress,,,reason to disagree,,,,,,,,,,"Relatives making money from the name, which the rule does not reach.",,,
imp-president-entitled-advisers-barring-president,230,importance,,barring-president-members-congress,president-entitled-advisers-he,barring-president-members-congress,,,reason to disagree,,,,,,,,,,A president restricted in whom he may consult.,,,
imp-competence-neither-inherited-barring-president,231,importance,,barring-president-members-congress,competence-neither-inherited-nor,barring-president-members-congress,,,reason to disagree,,,,,,,,,,Qualified people excluded for a relationship.,,,
imp-return-shows-what-requiring-president,232,importance,,requiring-president-members-congress,return-shows-what-financial,requiring-president-members-congress,,,reason to agree,,,,,,,,,,"Voters, who currently see ranges instead of figures.",,,
imp-internal-check-failed-requiring-president,233,importance,,requiring-president-members-congress,internal-check-failed-one,requiring-president-members-congress,,,reason to agree,,,,,,,,,,Citizens relying on an audit that did not happen.,,,
imp-every-president-carter-requiring-president,234,importance,,requiring-president-members-congress,every-president-carter-through,requiring-president-members-congress,,,reason to agree,,,,,,,,,,"Voters, who had the information for forty years and then did not.",,,
imp-published-return-can-requiring-president,235,importance,,requiring-president-members-congress,published-return-can-checked,requiring-president-members-congress,,,reason to agree,,,,,,,,,,"Voters, who can check a published document without waiting for an agency.",,,
imp-return-shows-tax-requiring-president,236,importance,,requiring-president-members-congress,return-shows-tax-positions,requiring-president-members-congress,,,reason to disagree,,,,,,,,,,"Voters, if the existing form already tells them what they need.",,,
imp-publication-exposes-spouses-requiring-president,237,importance,,requiring-president-members-congress,publication-exposes-spouses-children,requiring-president-members-congress,,,reason to disagree,,,,,,,,,,"Spouses, children and partners who hold no office.",,,
imp-route-constitutionally-narrow-requiring-president,238,importance,,requiring-president-members-congress,route-constitutionally-narrow-disclosure,requiring-president-members-congress,,,reason to disagree,,,,,,,,,,Officials facing a rule that would be litigated rather than obeyed.,,,
imp-sophisticated-wealth-sits-requiring-president,239,importance,,requiring-president-members-congress,sophisticated-wealth-sits-pass,requiring-president-members-congress,,,reason to disagree,,,,,,,,,,"Voters, who would see a document that shows little.",,,
imp-clemency-only-executive-letting-congress,240,importance,,letting-congress-overturn-presidential,clemency-only-executive-power,letting-congress-overturn-presidential,,,reason to agree,,,,,,,,,,"Victims and the public, for whom nothing reviews a grant.",,,
imp-pardons-granted-president-letting-congress,241,importance,,letting-congress-overturn-presidential,pardons-granted-president-s,letting-congress-overturn-presidential,,,reason to agree,,,,,,,,,,"Victims of the underlying offenses, and citizens watching the power used on the president's circle.",,,
imp-two-thirds-threshold-letting-congress,242,importance,,letting-congress-overturn-presidential,two-thirds-threshold-means,letting-congress-overturn-presidential,,,reason to agree,,,,,,,,,,A president whose unpopular but just grants would survive a two-thirds test.,,,
imp-most-states-already-letting-congress,243,importance,,letting-congress-overturn-presidential,most-states-already-put,letting-congress-overturn-presidential,,,reason to agree,,,,,,,,,,The public in states where clemency already carries a check.,,,
imp-article-ii-grants-letting-congress,244,importance,,letting-congress-overturn-presidential,article-ii-grants-power,letting-congress-overturn-presidential,,,reason to disagree,,,,,,,,,,A president whose constitutional power would be narrowed.,,,
imp-clemency-exists-correct-letting-congress,245,importance,,letting-congress-overturn-presidential,clemency-exists-correct-injustices,letting-congress-overturn-presidential,,,reason to disagree,,,,,,,,,,People whom only an unpopular act of mercy can reach.,,,
imp-reversible-pardon-pardon-letting-congress,246,importance,,letting-congress-overturn-presidential,reversible-pardon-pardon-nobody,letting-congress-overturn-presidential,,,reason to disagree,,,,,,,,,,Recipients who could not rely on a grant.,,,
imp-narrower-fix-reaches-letting-congress,247,importance,,letting-congress-overturn-presidential,narrower-fix-reaches-actual,letting-congress-overturn-presidential,,,reason to disagree,,,,,,,,,,"The same public interest, served by a smaller change.",,,
